City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
3,Kutum,SD,76.19,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
10,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
11,Ranong,TH,77.9,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
19,Batticaloa,LK,80.94,broken clouds,7.71,81.69,Grand Star Guest House
20,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
24,Poum,NC,77.76,clear sky,-20.23,164.02,Gîte kajeon
26,Butaritari,KI,81.93,clear sky,3.07,172.79,Isles Sunset Lodge
30,Pacifica,US,75.0,mist,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
33,Hithadhoo,MV,83.19,light rain,-0.6,73.08,Scoop Guest House
37,Dingle,PH,75.18,overcast clouds,11.0,122.67,Camp Pasica
38,Hilo,US,81.0,light rain,19.73,-155.09,Hilo Hawaiian Hotel
41,Avarua,CK,77.0,broken clouds,-21.21,-159.78,Paradise Inn
43,Safford,US,80.6,clear sky,32.83,-109.71,SpringHill Suites by Marriott Thatcher
44,Vilhena,BR,86.0,haze,-12.74,-60.15,Hotel Mirage
46,Atuona,PF,77.72,light rain,-9.8,-139.03,Villa Enata
47,Maceio,BR,80.6,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
53,Matara,LK,76.64,clear sky,5.95,80.54,Amaloh Boutique Resort
58,Kununurra,AU,78.8,overcast clouds,-15.77,128.73,Hotel Kununurra
74,Damaturu,NG,80.71,overcast clouds,11.75,11.96,Summit Conference Centre
78,San Quintin,MX,77.18,clear sky,30.48,-115.95,Old Mill Hotel
80,Bocaiuva,BR,75.2,clear sky,-17.11,-43.81,Hotel Maxim's
87,Kailua,US,82.4,clear sky,21.4,-157.74,Sheffield House Bed & Breakfast
90,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
91,Bengkulu,ID,75.16,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
92,Faanui,PF,80.1,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,Tautira,PF,82.4,broken clouds,-17.73,-149.15,Pension Oaoa
98,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
106,Ca Mau,VN,75.94,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
107,Dogondoutchi,NE,85.12,clear sky,13.64,4.03,Hôtel Alheri Maison Alheri
111,Itarema,BR,80.6,clear sky,-2.92,-39.92,Windvillage
112,Sumter,US,84.99,clear sky,28.71,-82.08,Paradise Oaks RV Resort
115,Ixtapa,MX,87.01,light rain,20.7,-105.2,Container Inn Puerto Vallarta
116,Samarai,PG,82.02,light rain,-10.62,150.67,Nuli Sapi
120,Noumea,NC,82.4,clear sky,-22.28,166.46,Hôtel Le Lagon
121,Suarez,CO,82.0,light rain,2.95,-76.7,Hotel Estrella Dorada
123,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
126,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
127,Lodwar,KE,84.61,scattered clouds,3.12,35.6,Turkwel Lodge
129,Arlit,NE,77.83,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
142,Pahrump,US,86.0,scattered clouds,36.21,-115.98,Best Western Pahrump Oasis
143,Sorong,ID,80.62,light rain,-0.88,131.25,The Waigo Hotel
144,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
150,Tual,ID,83.7,overcast clouds,-5.67,132.75,Grand Vilia Hotel
162,Vanimo,PG,78.85,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
166,Waingapu,ID,78.66,overcast clouds,-9.66,120.26,Pondok Wisata Elim
167,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
172,Abu Dhabi,AE,78.8,clear sky,24.47,54.37,Beach Rotana
175,Samana,DO,86.0,few clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
180,Olinda,BR,82.4,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
197,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
199,Jaguey Grande,CU,86.0,scattered clouds,22.53,-81.13,El Ranchon
203,Tucuman,AR,87.8,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
205,Ahuimanu,US,82.4,clear sky,21.44,-157.84,Paradise Bay Resort
206,Catuday,PH,78.78,light rain,16.29,119.81,GResort
213,Maragogi,BR,77.63,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
214,Takoradi,GH,78.84,overcast clouds,4.88,-1.76,Raybow International Hotel
218,Qui Nhon,VN,75.38,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
221,Daru,PG,81.43,overcast clouds,-9.08,143.21,New century hotel
226,Biltine,TD,82.09,scattered clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
228,Bandarbeyla,SO,77.11,clear sky,9.49,50.81,REER XOOSHLE GROUP
232,La Palma,US,84.0,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
255,Amarante Do Maranhao,BR,85.62,broken clouds,-5.57,-46.74,Hotéis Caçulinha
258,Umm Lajj,SA,79.48,scattered clouds,25.02,37.27,Moon light Furnished Units
261,Iberia,US,75.2,clear sky,29.95,-91.75,back to back rv park
263,Jacareacanga,BR,75.04,heavy intensity rain,-6.22,-57.75,Casa do Ian😎
264,Manokwari,ID,82.33,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
266,Buala,SB,83.5,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
277,Kavaratti,IN,81.66,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
290,Mendoza,AR,86.0,clear sky,-32.89,-68.83,Hotel Mendoza
291,Dakoro,NE,81.0,clear sky,14.51,6.76,boukha ag ghamran
298,Eydhafushi,MV,82.35,broken clouds,5.1,73.07,Soneva Fushi
