City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.46,-114.35,17.6,85,90,8.05,light snow
1,Mar Del Plata,AR,-38.0,-57.56,66.2,59,0,10.29,clear sky
2,Puerto Ayora,EC,-0.74,-90.35,78.8,69,40,13.87,scattered clouds
3,Kutum,SD,14.2,24.67,76.19,25,50,17.29,scattered clouds
4,Imbituba,BR,-28.24,-48.67,68.0,56,40,11.41,scattered clouds
5,Qaanaaq,GL,77.48,-69.36,1.29,74,0,7.58,clear sky
6,Avera,US,33.19,-82.53,70.0,60,40,13.87,scattered clouds
7,Rawson,AR,-43.3,-65.1,96.8,6,40,18.34,scattered clouds
8,Saldanha,ZA,-33.01,17.94,68.0,56,0,5.82,clear sky
9,Richards Bay,ZA,-28.78,32.04,65.14,85,100,4.21,light rain
10,Victoria,HK,22.29,114.16,75.0,75,100,1.01,overcast clouds
11,Ranong,TH,9.97,98.63,77.9,84,100,0.38,overcast clouds
12,Rikitea,PF,-23.12,-134.97,74.41,86,84,22.73,light rain
13,Punta Arenas,CL,-53.15,-70.92,51.8,76,75,14.99,broken clouds
14,Imeni Poliny Osipenko,RU,52.42,136.49,27.68,98,100,13.18,overcast clouds
15,Haines Junction,CA,60.75,-137.51,12.2,66,100,3.36,overcast clouds
16,Jamestown,US,42.1,-79.24,37.99,90,90,20.15,light rain
17,Yantongshan,CN,43.29,126.01,29.44,85,0,6.4,clear sky
18,Synya,RU,65.37,58.04,27.05,97,100,6.04,overcast clouds
19,Batticaloa,LK,7.71,81.69,80.94,74,61,5.46,broken clouds
20,Vaini,TO,-21.2,-175.2,77.0,83,75,9.17,broken clouds
21,Georgetown,MY,5.41,100.34,78.8,88,20,3.36,few clouds
22,Ponta Do Sol,PT,32.67,-17.1,69.8,77,20,3.36,few clouds
23,Ushuaia,AR,-54.8,-68.3,57.2,58,75,2.24,broken clouds
24,Poum,NC,-20.23,164.02,77.76,72,0,12.53,clear sky
25,East London,ZA,-33.02,27.91,66.04,84,82,15.66,light rain
26,Butaritari,KI,3.07,172.79,81.93,78,0,10.27,clear sky
27,Dikson,RU,73.51,80.55,18.03,98,97,8.39,overcast clouds
28,Tiksi,RU,71.69,128.87,-6.3,90,0,6.78,clear sky
