City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kruisfontein,ZA,2020-10-30 22:50:16,-34.0,24.73,48.99,91,0,1.01
1,Butaritari,KI,2020-10-30 22:50:16,3.07,172.79,82.56,77,70,21.45
2,Kapaa,US,2020-10-30 22:50:17,22.08,-159.32,84.0,69,75,9.17
3,Chernyshevskiy,RU,2020-10-30 22:50:17,63.01,112.47,-4.34,91,84,5.21
4,Kununurra,AU,2020-10-30 22:50:17,-15.77,128.73,84.2,74,58,1.12
5,Mataura,NZ,2020-10-30 22:47:07,-46.19,168.86,54.0,98,100,10.0
6,Hobart,AU,2020-10-30 22:47:01,-42.88,147.33,62.01,76,20,5.82
7,Sabang,ID,2020-10-30 22:50:17,5.89,95.32,82.0,77,60,15.01
8,Salalah,OM,2020-10-30 22:50:17,17.02,54.09,75.2,69,0,6.93
9,Buritizeiro,BR,2020-10-30 22:50:10,-17.35,-44.96,75.16,85,100,4.52
10,Rikitea,PF,2020-10-30 22:50:17,-23.12,-134.97,76.21,65,0,6.06
11,Khatanga,RU,2020-10-30 22:50:17,71.97,102.5,-9.62,84,0,6.64
12,Chuy,UY,2020-10-30 22:50:17,-33.7,-53.46,53.46,86,76,6.89
13,Mayo,US,2020-10-30 22:50:17,38.89,-76.51,51.8,76,1,11.41
14,Margate,GB,2020-10-30 22:50:17,51.38,1.39,57.99,89,81,4.0
15,Upernavik,GL,2020-10-30 22:50:17,72.79,-56.15,20.77,95,94,2.39
16,Bluff,NZ,2020-10-30 22:50:17,-46.6,168.33,54.0,98,100,11.99
17,Port Alfred,ZA,2020-10-30 22:50:18,-33.59,26.89,59.88,63,83,3.71
18,Lorengau,PG,2020-10-30 22:50:18,-2.02,147.27,85.03,66,94,2.37
19,Saiha,IN,2020-10-30 22:46:11,22.48,92.97,67.33,91,71,2.71
20,Camopi,GF,2020-10-30 22:50:18,3.17,-52.32,81.86,64,44,6.96
21,Hilo,US,2020-10-30 22:49:39,19.73,-155.09,84.2,70,75,10.29
22,Hithadhoo,MV,2020-10-30 22:50:18,-0.6,73.08,82.98,76,88,10.87
23,Batagay,RU,2020-10-30 22:50:18,67.63,134.63,-4.14,91,98,2.37
24,Jumla,NP,2020-10-30 22:50:18,29.27,82.18,43.41,54,5,6.06
25,Busselton,AU,2020-10-30 22:50:18,-33.65,115.33,64.99,67,18,2.39
26,Alugan,PH,2020-10-30 22:50:18,12.22,125.48,82.09,81,100,13.35
27,Port Elizabeth,ZA,2020-10-30 22:50:18,-33.92,25.57,50.0,81,0,3.36
28,Shizunai,JP,2020-10-30 22:50:18,42.33,142.37,47.52,68,0,12.01
29,Hasaki,JP,2020-10-30 22:50:18,35.73,140.83,48.2,70,20,5.82
30,Koulamoutou,GA,2020-10-30 22:50:19,-1.13,12.47,71.58,95,82,1.3
31,Mar Del Plata,AR,2020-10-30 22:48:25,-38.0,-57.56,57.2,76,0,8.05
32,Tuktoyaktuk,CA,2020-10-30 22:50:19,69.45,-133.04,8.6,84,75,9.17
33,Punta Arenas,CL,2020-10-30 22:50:19,-53.15,-70.92,53.6,58,75,34.45
34,Barrow,US,2020-10-30 22:50:19,71.29,-156.79,14.0,85,90,12.75
35,Bethel,US,2020-10-30 22:50:19,41.37,-73.41,35.6,80,90,6.93
36,Ilulissat,GL,2020-10-30 22:50:19,69.22,-51.1,17.6,72,100,3.36
37,Cockburn Town,TC,2020-10-30 22:50:19,21.46,-71.14,86.0,70,40,9.17
38,Fairbanks,US,2020-10-30 22:50:12,64.84,-147.72,12.99,85,90,1.9
39,Marsala,IT,2020-10-30 22:50:19,37.8,12.44,62.6,88,20,1.12
40,The Valley,AI,2020-10-30 22:50:19,18.22,-63.06,84.2,74,40,21.59
41,Port Hedland,AU,2020-10-30 22:50:20,-20.32,118.57,73.4,60,2,9.17
42,Metro,ID,2020-10-30 22:50:20,-5.11,105.31,76.1,88,90,3.38
43,Hermanus,ZA,2020-10-30 22:50:20,-34.42,19.23,45.0,91,0,11.72
44,Longyearbyen,SJ,2020-10-30 22:50:20,78.22,15.64,17.6,72,0,3.36
